City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
699,Mutsu,JP,80.6,broken clouds,34.0,131.87,Hotel AZ Yamaguchi Kudamatsu
704,Iguguno,TZ,77.38,clear sky,-7.91,39.67,Bustani B&B
707,Bermeo,ES,86.0,clear sky,42.14,-0.41,Hotel Sancho Abarca SPA Huesca
708,Aguimes,ES,86.0,clear sky,42.14,-0.41,Hotel Sancho Abarca SPA Huesca
709,Tomakomai,JP,80.6,broken clouds,34.0,131.87,Hotel AZ Yamaguchi Kudamatsu
711,High Rock,BS,85.37,overcast clouds,26.54,-77.06,Abaco Beach Resort
714,Manado,ID,79.36,overcast clouds,-6.88,112.21,bador sepret
715,Pimenta Bueno,BR,84.2,scattered clouds,-5.82,-35.4,Chacara Oásis
716,Baturaja,ID,79.36,overcast clouds,-6.88,112.21,bador sepret
718,Navapur,IN,86.41,broken clouds,26.92,71.92,Motel Pokaran - RTDC
719,Haimen,CN,86.0,clear sky,22.55,114.07,Shun Hing Square
723,Aksu,CN,86.0,clear sky,22.55,114.07,Shun Hing Square
725,Xining,CN,86.0,clear sky,22.55,114.07,Shun Hing Square
729,Kalaikunda,IN,86.41,broken clouds,26.92,71.92,Motel Pokaran - RTDC
